Timestamp,What is your age group?  ,Where are you from? (Country only),For how long have you been playing FoE?,Have you ever spent money on in-game purchases?,"How much do you spend per year, approximately? (Consider values on US Dolar, Euros or Pounds)",What is your main purpose for spending? (Pick the most accurate),Which is your guild style?,What is your guild size?,Have you ever led a guild in this game? ,"In real life, have you ever managed people (as a manager, business owner, or supervisor)?  "
11/10/2024 07:47:56,35 to 49,India.,Less than 3 months,Never,0 (Do not spend),Do not spend,Competitive,More than 60,Never,Yes
11/10/2024 08:00:54,35 to 49,United kingdom ,Between 2 and 4 years,Every month,Up to 500,Reach higher event leagues and get more Grand Prizes,Competitive,More than 60,Never,No
11/10/2024 08:14:06,35 to 49,switzerland,Between 2 and 4 years,Every month,More than 1000,Compete in Guild Battleground,Competitive,Up to 20 players,I currently lead one,Yes
11/10/2024 08:48:04,35 to 49,Australia ,More than 4 years,Only once,Up to 20,Reach higher event leagues and get more Grand Prizes,Active but non-competitive,More than 60,I currently lead one,Yes
11/10/2024 09:53:05,50 to 64,UK,Between 2 and 4 years,Never,0 (Do not spend),Do not spend,Competitive,More than 60,"Yes, for a while",Yes
11/10/2024 11:47:10,More than 64,Australia,More than 4 years,A few times per year,Up to 300,Reach higher event leagues and get more Grand Prizes,Competitive,41 to 60 players,I currently lead one,Yes
11/10/2024 12:01:19,50 to 64,Australia,Between 2 and 4 years,Every month,Up to 500,Reach higher event leagues and get more Grand Prizes,Active but non-competitive,41 to 60 players,Never,No
11/10/2024 14:49:19,50 to 64,Australia ,Between 2 and 4 years,A few times per year,Up to 100,"Other (Quantum Incursions, Guild Expedition, Settlements, Castle System, Forge Plus)",Competitive,Up to 20 players,I currently lead one,Yes
11/10/2024 15:43:56,35 to 49,Taiwan,More than 4 years,Never,0 (Do not spend),Do not spend,Active but non-competitive,More than 60,I currently lead one,No
11/10/2024 15:44:19,35 to 49,United Kingdom,Between 3 months and a year,Never,0 (Do not spend),Do not spend,Competitive,More than 60,I currently lead one,Yes
11/10/2024 15:44:37,50 to 64,Canada,More than 4 years,Only once,Up to 20,Reach higher event leagues and get more Grand Prizes,Competitive,41 to 60 players,I currently lead one,Yes
11/10/2024 15:46:12,35 to 49,United Kingdom ,Between 2 and 4 years,Only once,Up to 20,Progress faster in the eras or get extra content first,Competitive,41 to 60 players,"Yes, for a while",No
11/10/2024 15:46:51,50 to 64,Australia,Between 2 and 4 years,Every month,More than 1000,Reach higher event leagues and get more Grand Prizes,For fun/ casual,More than 60,Never,Yes
11/10/2024 15:48:08,20 to 34,Bulgaria,Less than 3 months,A few times per year,Up to 100,Reach higher event leagues and get more Grand Prizes,Active but non-competitive,21 to 40 players,Never,No
11/10/2024 15:48:16,50 to 64,NA,More than 4 years,A few times per year,Up to 100,Reach higher event leagues and get more Grand Prizes,Active but non-competitive,More than 60,I currently lead one,Yes
11/10/2024 15:48:47,50 to 64,Canada ,More than 4 years,Only once,0 (Do not spend),Do not spend,Competitive,More than 60,I currently lead one,Yes
11/10/2024 15:59:59,50 to 64,England,More than 4 years,Never,0 (Do not spend),Do not spend,Active but non-competitive,More than 60,I currently lead one,Yes
11/10/2024 16:00:47,50 to 64,Hungary,Between 3 months and a year,A few times per year,Up to 20,"Other (Quantum Incursions, Guild Expedition, Settlements, Castle System, Forge Plus)",Competitive,Up to 20 players,Never,No
11/10/2024 16:02:17,50 to 64,UK,Between 2 and 4 years,A few times per year,Up to 50,Reach higher event leagues and get more Grand Prizes,Active but non-competitive,21 to 40 players,"Yes, for a while",Yes
11/10/2024 16:04:15,50 to 64,uk,Between 3 months and a year,A few times per year,Up to 50,Progress faster in the eras or get extra content first,Competitive,21 to 40 players,Never,Yes
11/10/2024 16:09:06,50 to 64,United kingdom,Between 2 and 4 years,Only once,Up to 20,Reach higher event leagues and get more Grand Prizes,Active but non-competitive,21 to 40 players,I currently lead one,Yes
11/10/2024 16:24:59,20 to 34,England,More than 4 years,Every month,More than 1000,Reach higher event leagues and get more Grand Prizes,Competitive,More than 60,Never,No
11/10/2024 17:03:41,50 to 64,Scotland,Between 3 months and a year,A few times per year,Up to 50,Progress faster in the eras or get extra content first,Competitive,Up to 20 players,Never,Yes
11/10/2024 17:06:23,50 to 64,Australia,More than 4 years,A few times per year,Up to 20,"Other (Quantum Incursions, Guild Expedition, Settlements, Castle System, Forge Plus)",Competitive,Up to 20 players,Never,No
11/10/2024 17:07:08,35 to 49,England,More than 4 years,A few times per year,Up to 20,"Other (Quantum Incursions, Guild Expedition, Settlements, Castle System, Forge Plus)",Competitive,More than 60,Never,No
11/10/2024 17:18:34,35 to 49,Latvia,Between 3 months and a year,Never,0 (Do not spend),Do not spend,Competitive,Up to 20 players,Never,Yes
11/10/2024 17:20:17,50 to 64,UK,More than 4 years,Never,0 (Do not spend),Do not spend,For fun/ casual,Up to 20 players,I currently lead one,Yes
11/10/2024 17:22:02,50 to 64,UK,More than 4 years,A few times per year,Up to 300,"Other (Quantum Incursions, Guild Expedition, Settlements, Castle System, Forge Plus)",For fun/ casual,21 to 40 players,"Yes, for a while",Yes
11/10/2024 17:23:40,35 to 49,belgium,Between 2 and 4 years,A few times per year,Up to 50,"Other (Quantum Incursions, Guild Expedition, Settlements, Castle System, Forge Plus)",Competitive,41 to 60 players,I currently lead one,Yes
11/10/2024 17:28:45,35 to 49,England,More than 4 years,A few times per year,Up to 20,"Other (Quantum Incursions, Guild Expedition, Settlements, Castle System, Forge Plus)",Competitive,More than 60,Never,No
11/10/2024 18:04:57,More than 64,UK,More than 4 years,Never,0 (Do not spend),Do not spend,For fun/ casual,More than 60,"Yes, for a while",Yes
11/10/2024 18:09:56,35 to 49,UK,Between 2 and 4 years,A few times per year,Up to 20,"Other (Quantum Incursions, Guild Expedition, Settlements, Castle System, Forge Plus)",For fun/ casual,21 to 40 players,"Yes, for a while",No
11/10/2024 19:17:28,20 to 34,Montenegro,Between 2 and 4 years,Only once,Up to 20,"Other (Quantum Incursions, Guild Expedition, Settlements, Castle System, Forge Plus)",Active but non-competitive,21 to 40 players,"Yes, for a while",No
11/10/2024 19:23:14,35 to 49,Hungary,More than 4 years,Only once,Up to 20,Reach higher event leagues and get more Grand Prizes,Competitive,Up to 20 players,"Yes, for a while",Yes
11/10/2024 19:40:35,35 to 49,Romania,Between 3 months and a year,A few times per year,Up to 100,"Other (Quantum Incursions, Guild Expedition, Settlements, Castle System, Forge Plus)",For fun/ casual,41 to 60 players,Never,Yes
11/10/2024 19:42:08,50 to 64,NL,Between 2 and 4 years,A few times per year,Up to 100,"Other (Quantum Incursions, Guild Expedition, Settlements, Castle System, Forge Plus)",Competitive,Up to 20 players,I currently lead one,Yes
11/10/2024 19:46:57,Less than 20,Sri Lanka,More than 4 years,Never,0 (Do not spend),Do not spend,Active but non-competitive,More than 60,Never,No
11/10/2024 19:47:27,20 to 34,Czech Republic,More than 4 years,Only once,Up to 50,"Other (Quantum Incursions, Guild Expedition, Settlements, Castle System, Forge Plus)",Active but non-competitive,More than 60,I currently lead one,No
11/10/2024 19:59:00,35 to 49,UK,More than 4 years,A few times per year,Up to 300,Reach higher event leagues and get more Grand Prizes,Competitive,More than 60,I currently lead one,Yes
11/10/2024 20:29:50,50 to 64,Romania,More than 4 years,A few times per year,Up to 100,Reach higher event leagues and get more Grand Prizes,For fun/ casual,41 to 60 players,Never,No
11/10/2024 20:32:46,20 to 34,England ,More than 4 years,A few times per year,Up to 50,Reach higher event leagues and get more Grand Prizes,Competitive,More than 60,"Yes, for a while",No
11/10/2024 20:32:52,35 to 49,Serbia,Between 3 months and a year,Only once,Up to 20,"Other (Quantum Incursions, Guild Expedition, Settlements, Castle System, Forge Plus)",For fun/ casual,Up to 20 players,Never,Yes
11/10/2024 20:43:40,35 to 49,Germany,More than 4 years,Never,0 (Do not spend),Do not spend,Competitive,More than 60,"Yes, for a while",Yes
11/10/2024 21:15:59,50 to 64,wales,More than 4 years,Only once,0 (Do not spend),Do not spend,Competitive,More than 60,"Yes, for a while",Yes
11/10/2024 21:24:21,35 to 49,Serbia,More than 4 years,Never,0 (Do not spend),Do not spend,Active but non-competitive,41 to 60 players,"Yes, for a while",Yes
11/10/2024 21:29:26,50 to 64,uk,More than 4 years,Only once,Up to 100,Progress faster in the eras or get extra content first,Competitive,Up to 20 players,"Yes, for a while",Yes
11/10/2024 21:40:13,35 to 49,England,More than 4 years,A few times per year,Up to 500,Compete in Guild Battleground,Competitive,Up to 20 players,I currently lead one,Yes
11/10/2024 21:54:14,50 to 64,uk,Between 2 and 4 years,Never,0 (Do not spend),Do not spend,For fun/ casual,21 to 40 players,Never,No
11/10/2024 23:11:44,50 to 64,USA,Between 1 and 2 years,Never,0 (Do not spend),Do not spend,Competitive,More than 60,Never,No
11/10/2024 23:41:58,50 to 64,UK,More than 4 years,Never,0 (Do not spend),Do not spend,Competitive,More than 60,I currently lead one,Yes
11/10/2024 23:50:21,35 to 49,Uk,More than 4 years,Never,0 (Do not spend),Do not spend,Competitive,More than 60,I currently lead one,Yes
11/10/2024 23:50:48,20 to 34,England,More than 4 years,Only once,Up to 50,Reach higher event leagues and get more Grand Prizes,For fun/ casual,21 to 40 players,"Yes, for a while",No
11/10/2024 23:55:59,35 to 49,Slovenija ,More than 4 years,Never,0 (Do not spend),Do not spend,Competitive,More than 60,I currently lead one,Yes
11/10/2024 23:58:19,50 to 64,Australia ,More than 4 years,Never,0 (Do not spend),Do not spend,Competitive,41 to 60 players,I currently lead one,Yes
12/10/2024 00:47:50,50 to 64,Australia,More than 4 years,Never,0 (Do not spend),Do not spend,Competitive,More than 60,"Yes, for a while",Yes
12/10/2024 01:05:08,More than 64,England,More than 4 years,Never,0 (Do not spend),Do not spend,Competitive,21 to 40 players,"Yes, for a while",Yes
12/10/2024 01:39:19,35 to 49,Canada,More than 4 years,Never,0 (Do not spend),Do not spend,Active but non-competitive,41 to 60 players,Never,No
12/10/2024 02:03:58,35 to 49,Australia,More than 4 years,Never,0 (Do not spend),Do not spend,Competitive,More than 60,I currently lead one,No
12/10/2024 02:22:33,More than 64,Canada,More than 4 years,A few times per year,Up to 500,Reach higher event leagues and get more Grand Prizes,Competitive,41 to 60 players,I currently lead one,Yes
12/10/2024 03:53:14,35 to 49,Philippines,Between 2 and 4 years,Never,0 (Do not spend),Do not spend,Competitive,More than 60,"Yes, for a while",Yes
12/10/2024 03:55:35,20 to 34,Russia,Between 3 months and a year,Only once,0 (Do not spend),Reach higher event leagues and get more Grand Prizes,Competitive,Up to 20 players,I currently lead one,Yes
12/10/2024 04:54:14,50 to 64,Sweden,More than 4 years,A few times per year,Up to 100,Compete in Guild Battleground,Competitive,More than 60,"Yes, for a while",No
12/10/2024 11:26:27,35 to 49,UK,Between 1 and 2 years,A few times per year,Up to 300,Compete in Guild Battleground,Active but non-competitive,Up to 20 players,I currently lead one,Yes
12/10/2024 11:32:36,35 to 49,romania,More than 4 years,A few times per year,Up to 300,Progress faster in the eras or get extra content first,Competitive,More than 60,I currently lead one,Yes
12/10/2024 11:47:15,35 to 49,England,Between 1 and 2 years,Only once,0 (Do not spend),Reach higher event leagues and get more Grand Prizes,For fun/ casual,Up to 20 players,I currently lead one,Yes
12/10/2024 12:39:50,50 to 64,Australia,More than 4 years,A few times per year,Up to 100,Reach higher event leagues and get more Grand Prizes,Competitive,41 to 60 players,"Yes, for a while",Yes
12/10/2024 14:52:16,35 to 49,Australia,Between 2 and 4 years,Only once,0 (Do not spend),Reach higher event leagues and get more Grand Prizes,Active but non-competitive,Up to 20 players,I currently lead one,Yes
12/10/2024 16:01:42,50 to 64,UK,Between 1 and 2 years,Only once,Up to 50,Reach higher event leagues and get more Grand Prizes,Competitive,More than 60,Never,Yes
12/10/2024 16:02:28,50 to 64,Greece,Between 2 and 4 years,Only once,Up to 20,Do not spend,Competitive,Up to 20 players,"Yes, for a while",Yes
13/10/2024 01:24:21,20 to 34,Spain,Between 1 and 2 years,A few times per year,Up to 20,Compete in Guild Battleground,Competitive,More than 60,"Yes, for a while",Yes
13/10/2024 12:21:27,50 to 64,England,Between 2 and 4 years,A few times per year,Up to 300,Progress faster in the eras or get extra content first,Competitive,More than 60,Never,Yes
